"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
64,"Mujer",11,"Austria",60,5,90
35,"Mujer",20,"Austria",20,5,660
65,"Mujer",11,"Austria",20,5,120
47,"Varón",16,"Austria",45,5,120
43,"Varón",16,"Austria",45,5,120
74,"Varón",14,"Austria",120,5,60
56,"Varón",12,"Austria",50,5,30
40,"Varón",12,"Austria",60,4,240
48,"Varón",13,"Austria",15,4,120
22,"Mujer",15,"Austria",60,5,300
60,"Varón",15,"Austria",60,5,240
54,"Mujer",9,"Austria",10,4,60
73,"Mujer",12,"Austria",60,4,15
27,"Varón",11,"Austria",30,5,300
60,"Mujer",12,"Austria",30,5,10
51,"Varón",13,"Austria",30,5,420
58,"Varón",13,"Austria",45,5,150
43,"Varón",17,"Austria",20,5,150
39,"Mujer",4,"Austria",0,5,240
39,"Varón",9,"Austria",20,5,180
67,"Varón",8,"Austria",90,5,240
33,"Varón",15,"Austria",45,5,30
31,"Mujer",15,"Austria",5,5,120
51,"Varón",12,"Austria",5,4,90
47,"Varón",18,"Austria",45,5,120
74,"Mujer",12,"Austria",60,4,30
46,"Mujer",11,"Austria",15,5,120
55,"Mujer",12,"Austria",15,5,210
57,"Varón",13,"Austria",60,5,120
16,"Varón",10,"Austria",0,5,150
74,"Varón",15,"Austria",150,5,60
60,"Varón",12,"Austria",5,5,120
55,"Varón",11,"Austria",75,5,120
31,"Varón",16,"Austria",10,5,300
33,"Mujer",9,"Austria",10,5,120
30,"Varón",10,"Austria",20,5,240
42,"Varón",15,"Austria",60,5,480
72,"Mujer",12,"Austria",60,5,165
56,"Mujer",12,"Austria",5,5,60
48,"Mujer",13,"Austria",60,5,120
29,"Mujer",12,"Austria",5,5,120
52,"Varón",12,"Austria",150,5,120
37,"Mujer",13,"Austria",30,5,120
62,"Varón",12,"Austria",45,5,45
27,"Mujer",15,"Austria",55,5,420
45,"Varón",20,"Austria",15,5,180
44,"Varón",11,"Austria",120,4,120
52,"Mujer",14,"Austria",0,5,180
